Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,cape_link
"Hrvoj Mihic, Branka",ANTH 2 - Human Origins (A),SP19,178,87,78.0 %,90.0 %,3.65,B (3.02),B (3.04),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=966943
"Balaswaminathan, Sowparnika",ANTH 21 - Race and Racisms (A),SP19,164,60,84.9 %,94.2 %,2.80,B+ (3.65),B+ (3.43),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=966949
"Stewart, Alexander B",ANTH 23 - Debating Multiculturalism (A),SP19,162,118,87.2 %,94.9 %,3.01,B+ (3.43),B (3.18),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=966957
"Kang, Byung Chu",ANTH 44 - New Media in the Korean Wave (A),SP19,71,43,97.6 %,97.6 %,1.62,A- (3.87),A- (3.74),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=966967
"Semendeferi, Ekaterini",ANTH 87 - Freshman Seminar (A),SP19,13,9,100.0 %,100.0 %,0.50,N/A,N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=966968
"Shtienberg, Gilad",ANAR 116 - Sea Level Change - Israel (A),WI19,13,4,100.0 %,100.0 %,2.00,A- (3.75),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=958483
"Fortier, Jana",ANAR 124 - The Archaeology of Asia (A),WI19,19,11,90.9 %,90.9 %,4.50,A- (3.80),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=958164
"Braswell, Geoffrey E.",ANAR 153 - The Mysterious Maya (A),WI19,40,22,71.4 %,70.0 %,4.12,B (3.22),C+ (2.69),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=958484
"Rivera-Collazo, Isabel C",ANAR 164 - Maritime Archaeology (A),WI19,29,13,92.3 %,84.6 %,4.96,B+ (3.62),B+ (3.46),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=964055
"Rivera-Collazo, Isabel C",ANAR 167 - Geoarchaeology (A),WI19,6,4,100.0 %,100.0 %,8.50,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=964082
"Semendeferi, Ekaterini",ANBI 112 - Methods/Human CompNeuroscience (A),WI19,3,3,100.0 %,100.0 %,4.50,B+ (3.67),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=958485
"Gagneux, Pascal",ANBI 116 - Hmn Sexuality in Evolutn Pers (A),WI19,54,28,88.5 %,88.5 %,4.06,B (3.15),B (3.06),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=958486
"Hrvoj Mihic, Branka",ANBI 140 - Evolution of Human Brain (A),WI19,35,11,90.9 %,90.9 %,7.41,B (3.20),B (3.16),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=958487
"Jassal, Aftab",ANSC 120 - Anthropology of Religion (A),WI19,26,24,87.0 %,86.4 %,3.75,A- (3.75),B+ (3.66),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=958492
"Brenner, Suzanne A","ANSC 125 - Gender, Sexuality, & Society (A)",WI19,68,32,93.3 %,93.3 %,4.50,B+ (3.60),B+ (3.61),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=958493
"Csordas, Thomas J.",ANSC 129 - Meaning and Healing (A),WI19,8,3,100.0 %,100.0 %,5.83,B+ (3.67),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=958494
"Jordan, David K.",ANSC 136 - Traditional Chinese Society (A),WI19,40,13,81.8 %,81.8 %,3.41,B+ (3.45),B (3.13),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=958495
"Jenkins, Janis A.",ANSC 143 - Mental Health/Global Hlth Prty (A),WI19,27,11,72.7 %,81.8 %,3.77,B (3.18),B (3.25),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=959911
"Saravia, Paula F",ANSC 144 - Immigrant and Refugee Health (A),WI19,36,32,100.0 %,90.6 %,4.63,A- (3.74),A- (3.71),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=958496
"Varma, Saiba",ANSC 148 - Global Health&Cultrl Diversity (A),WI19,35,34,73.5 %,69.7 %,5.85,C+ (2.67),C+ (2.52),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=958497
"Olivas Hernandez, Olga Lid",ANSC 151 - US-Mexico Border Ethnographies (A),WI19,17,8,100.0 %,100.0 %,3.75,A- (3.88),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=958163
"Rothschild, Amy C",ANSC 155 - Humanitarian Aid (A),WI19,20,10,100.0 %,100.0 %,3.39,A- (3.88),B+ (3.51),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=963634
"Brenner, Suzanne A",ANSC 159 - Anthropology of Marriage (A),WI19,18,11,100.0 %,100.0 %,6.50,B+ (3.60),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=959215
"Parish, Steven Martin",ANSC 183 - Visualizing the Human (A),WI19,15,6,83.3 %,83.3 %,1.50,A- (3.83),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=965988
"Pedersen, David",ANSC 192 - Capitalism and Imperialism (A),WI19,11,4,75.0 %,75.0 %,2.50,C+ (2.67),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=966306
"Pedersen, David",ANSC 193 - Capitalism and Nature (A),WI19,15,9,83.3 %,100.0 %,3.83,B (3.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=964260
"Bialecki, Jon Anthony",ANTH 1 - Introduction to Culture (A),WI19,63,28,88.9 %,92.6 %,2.94,B+ (3.54),B+ (3.41),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=958498
"Wilder, Linnea Lorene",ANTH 102 - Humans Are Cultural Animals (A),WI19,137,60,96.5 %,93.0 %,2.91,B+ (3.62),B+ (3.67),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=958530
"Semendeferi, Ekaterini",ANTH 196B - Honors Studies in Anthropology (A),WI19,10,3,100.0 %,100.0 %,9.83,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=958531
"Rothschild, Amy C",ANTH 21 - Race and Racisms (A),WI19,145,47,97.8 %,97.8 %,2.94,A- (3.79),B+ (3.42),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=958504
"Berman, Michael David",ANTH 21 - Race and Racisms (B),WI19,147,89,92.9 %,94.0 %,2.48,A- (3.70),B+ (3.58),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=958509
"Stewart, Alexander B",ANTH 23 - Debating Multiculturalism (A),WI19,235,176,84.5 %,95.4 %,3.03,B+ (3.54),B (3.19),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=958517
"Kang, Byung Chu",ANTH 87 - Freshman Seminar (B),WI19,16,8,100.0 %,87.5 %,0.50,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=958528
"Jordan, David K.",ANTH 87 - Freshman Seminar (C),WI19,11,7,100.0 %,100.0 %,2.21,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=958529
"Jordan, David K.",ANTH 87 - Freshman Seminar (D),WI19,10,7,100.0 %,100.0 %,1.07,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=964060
"Ben-Yosef, Erez",ANAR 113 - Natural Resources in Israel (A),FA18,19,11,100.0 %,100.0 %,4.14,B+ (3.64),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=950504
"D'Alpoim Guedes, Jade A",ANAR 146 - Feeding the World (A),FA18,39,17,100.0 %,100.0 %,5.91,A- (3.75),B+ (3.54),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=945709
"Marchetto, Maria Carolina",ANBI 100 - Special Topic/Biological Anth (A),FA18,25,23,100.0 %,100.0 %,4.24,A- (3.91),A- (3.83),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=953285
"Non, Amy L",ANBI 134 - Human Evolutionary Genetics (A),FA18,30,16,62.5 %,93.3 %,5.50,B (3.13),B (3.09),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=945711
"Non, Amy L",ANBI 135 - Genetic Anthro Lab Techniques (A),FA18,11,7,57.1 %,85.7 %,4.50,B (3.14),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=945713
"Lew, Caroline Horton",ANBI 159 - Biological&Cult Persptv/Intell (A),FA18,45,25,83.3 %,83.3 %,3.25,A- (3.75),B+ (3.44),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=951024
"Goodman, Yehuda Chaim",ANSC 100 - Spec Top/Socio-Cultural Anthro (A),FA18,12,4,75.0 %,75.0 %,3.50,B (3.25),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=945716
"Jenkins, Janis A.",ANSC 100 - Spec Top/Socio-Cultural Anthro (C),FA18,11,5,100.0 %,100.0 %,5.00,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=956063
"Saravia, Paula F",ANSC 105 - Global Health and Inequality (A),FA18,20,17,94.1 %,88.2 %,6.03,A- (3.88),A- (3.96),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=951753
"Olivas Hernandez, Olga Lid",ANSC 106 - GH: Indig Med in Latin America (A),FA18,39,14,92.9 %,92.9 %,3.07,A- (3.86),A- (3.81),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=951792
"Hauck, Jan",ANSC 118 - Language and Culture (A),FA18,21,13,92.3 %,100.0 %,6.35,B+ (3.69),A- (3.80),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=953855
"Kang, Byung Chu",ANSC 146 - Global Health Persp/HIV (A),FA18,40,22,90.9 %,86.4 %,4.23,A- (3.73),A- (3.74),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=945721
"Saravia, Paula F",ANSC 148 - Global Health&Cultrl Diversity (A),FA18,88,74,54.8 %,52.1 %,4.53,B+ (3.40),B+ (3.52),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=945722
"Pedersen, David",ANSC 175 - Anthropology of Capitalism (A),FA18,33,12,58.3 %,50.0 %,3.83,B+ (3.50),B+ (3.68),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=945723
"Goldstein, Paul S",ANTH 101 - Foundations/Social Complexity (A),FA18,137,73,81.2 %,79.1 %,4.00,B+ (3.33),B+ (3.35),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=945782
"Semendeferi, Ekaterini",ANTH 196A - Honors Studies in Anthropology (A),FA18,13,4,100.0 %,100.0 %,7.00,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=945785
"Rothschild, Amy C",ANTH 21 - Race and Racisms (A),FA18,212,96,94.7 %,97.8 %,3.01,B+ (3.58),B+ (3.54),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=945734
"Kang, Byung Chu",ANTH 21 - Race and Racisms (B),FA18,314,214,94.2 %,93.7 %,3.36,A- (3.82),A- (3.73),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=945748
"Stewart, Alexander B",ANTH 23 - Debating Multiculturalism (A),FA18,407,351,87.9 %,95.6 %,3.53,B+ (3.58),B+ (3.42),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=945762
"Rivera-Collazo, Isabel C",ANTH 3 - Global Archaeology (A),FA18,66,47,95.7 %,100.0 %,3.14,B+ (3.49),B (3.17),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=945732
"Semendeferi, Ekaterini",ANTH 87 - Freshman Seminar (A),FA18,17,13,100.0 %,100.0 %,0.50,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=951895
"Kang, Byung Chu",ANSC 105GS - Global Health and Inequality (A),S218,21,13,100.0 %,100.0 %,4.50,A (4.00),A- (3.71),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=940630
"Kang, Byung Chu","ANSC 125GS - Gender, Sexuality, & Society (A)",S218,21,13,100.0 %,100.0 %,4.35,A- (3.92),B+ (3.60),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=940631
"Saravia, Paula F",ANSC 144 - Immigrant and Refugee Health (A),S218,23,21,100.0 %,100.0 %,4.79,A- (3.76),B+ (3.63),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=940632
"Parish, Steven Martin",ANSC 166 - Film and Culture in Asia (A),S218,110,37,94.3 %,94.3 %,4.16,A- (3.94),A- (3.98),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=940625
"Liss, Brady James",ANTH 101 - Foundations/Social Complexity (A),S218,21,13,100.0 %,100.0 %,3.83,B (3.17),B- (2.83),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=942318
"Goldstein, Paul S","ANAR 117 - Archaeology Field&Lab, SoCal (A)",S118,17,7,100.0 %,100.0 %,4.10,A- (3.86),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=949447
"Berman, Michael David",ANSC 122 - Language in Society (A),S118,38,15,93.3 %,93.3 %,4.90,B+ (3.50),B+ (3.42),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=940602
"Wilder, Linnea Lorene",ANTH 102 - Humans Are Cultural Animals (A),S118,38,13,100.0 %,83.3 %,2.81,B+ (3.50),A- (3.72),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=940609
"Hrvoj Mihic, Branka",ANTH 2 - Human Origins (A),S118,21,7,85.7 %,100.0 %,4.17,A- (3.75),B+ (3.58),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=940604
"Kurian, Amrita Achamma",ANTH 21 - Race and Racisms (A),S118,28,14,78.6 %,100.0 %,8.21,B+ (3.33),B (3.07),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=940606
"Kennemore, Amy Michelle",ANTH 23 - Debating Multiculturalism (A),S118,25,21,95.2 %,100.0 %,5.83,B+ (3.50),A- (3.76),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=940608
"Braswell, Geoffrey E.",ANAR 100 - Spec Topics/Anth Archaeology (A),SP18,17,7,100.0 %,100.0 %,8.17,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=940613
"Levy, Thomas E",ANAR 143 - Biblical Arch- Fact or Fiction (A),SP18,31,15,73.3 %,86.7 %,4.90,B+ (3.40),B+ (3.59),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=935292
"Goldstein, Paul S",ANAR 156 - Archaeology of South America (A),SP18,49,14,57.1 %,71.4 %,3.07,B+ (3.33),B (3.16),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=935293
"Goldstein, Paul S",ANAR 180 - Archaeology Workshop (A),SP18,9,5,100.0 %,100.0 %,4.10,A- (3.80),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=948629
"Strum, Shirley C.",ANBI 132 - Conservation&Human Predicament (A),SP18,15,3,100.0 %,100.0 %,4.50,B+ (3.67),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=935294
"Gagneux, Pascal",ANBI 139 - Evolution of Human Disease (A),SP18,40,20,100.0 %,100.0 %,3.28,A- (3.83),B- (2.83),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=935295
"Lew, Caroline Horton",ANBI 140 - Evolution of Human Brain (A),SP18,27,14,85.7 %,92.9 %,4.19,B+ (3.62),B+ (3.51),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=935296
"Minsky-Rowland, Jocelyn D",ANBI 143 - The Human Skeleton (A),SP18,21,11,100.0 %,100.0 %,7.05,B+ (3.50),B- (2.95),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=935297
"Pedersen, David",ANSC 100 - Spec Top/Socio-Cultural Anthro (B),SP18,14,7,85.7 %,85.7 %,3.64,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=935301
"Saravia, Paula F",ANSC 106 - GH: Indig Med in Latin America (A),SP18,43,39,97.4 %,94.9 %,4.29,A- (3.78),B+ (3.62),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=935306
"Haviland, John B.",ANSC 122 - Language in Society (A),SP18,31,16,46.7 %,53.3 %,5.83,B- (2.92),B (3.00),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=935308
"Rothschild, Amy C",ANSC 140 - Human Rights II: Contemp Issue (A),SP18,24,9,88.9 %,77.8 %,3.17,A (4.00),A- (3.79),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=935309
"Olivas Hernandez, Olga Lid",ANSC 150 - Culture and Mental Health (A),SP18,12,5,100.0 %,100.0 %,4.50,A- (3.80),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=940844
"Olivas Hernandez, Olga Lid",ANSC 150 - Culture and Mental Health (B),SP18,12,7,100.0 %,100.0 %,4.50,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=944474
"Garth, Hanna Fitzmaurice",ANSC 185 - #BlackLivesMatter (A),SP18,46,24,100.0 %,100.0 %,5.42,A- (3.74),B+ (3.51),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=935310
"Hankins, Joseph D.",ANSC 186 - Gender and Incarceration (A),SP18,31,15,100.0 %,100.0 %,5.12,A (4.00),A- (3.72),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=943302
"Brenner, Suzanne A",ANTH 103 - Sociocultural Anthropology (A),SP18,139,55,81.5 %,83.3 %,4.46,B+ (3.62),B+ (3.63),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=935334
"Semendeferi, Ekaterini",ANTH 192 - Senior Seminar in Anthropology (A),SP18,12,8,85.7 %,85.7 %,1.75,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=935335
"Semendeferi, Ekaterini",ANTH 196C - Honors Studies in Anthropology (A),SP18,6,5,80.0 %,100.0 %,10.50,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=935336
"Bennallack, Kathleen Celia",ANTH 21 - Race and Racisms (A),SP18,188,61,81.0 %,71.9 %,2.64,A- (3.80),B+ (3.60),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=935315
"Stewart, Alexander B",ANTH 23 - Debating Multiculturalism (A),SP18,169,133,86.7 %,93.8 %,3.02,B+ (3.63),B+ (3.46),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=935324
"Levy, Thomas E",ANTH 3 - Global Archaeology (A),SP18,56,25,90.9 %,90.9 %,2.75,B+ (3.65),A- (3.72),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=935312
"Non, Amy L",ANTH 43 - Intro/Bio & Culture of Race (A),SP18,50,34,84.8 %,93.9 %,3.50,B+ (3.57),B (3.19),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=935331
